#k i j head boundname
1 1 68 297.702 east
1 2 68 297.417 east
1 3 68 297.097 east
1 4 68 296.814 east
1 5 68 296.572 east
1 6 68 296.28 east
1 7 68 295.939 east
1 8 68 295.637 east
1 9 68 295.299 east
1 10 68 294.962 east
1 11 68 294.629 east
1 12 68 294.309 east
1 13 68 293.973 east
1 14 68 293.588 east
1 15 68 293.168 east
1 16 68 292.735 east
1 17 68 292.3 east
1 18 68 291.856 east
1 19 68 291.432 east
1 20 68 290.992 east
1 21 68 290.534 east
1 22 68 290.071 east
1 23 68 289.604 east
1 24 68 289.167 east
1 25 68 288.697 east
1 26 68 288.189 east
1 27 68 287.642 east
1 28 68 287.043 east
1 29 68 286.439 east
1 30 68 286.166 east
1 31 68 286.279 east
1 32 68 286.319 east
1 33 68 286.342 east
1 34 68 286.346 east
1 35 68 286.332 east
1 36 68 286.371 east
1 37 68 286.35 east
1 38 68 286.33 east
1 39 68 286.31 east
1 40 68 286.343 east
1 41 68 286.302 east
1 42 68 286.246 east
1 43 68 286.176 east
1 44 68 286.092 east
1 45 68 286.003 east
1 46 68 285.892 east
1 47 68 285.771 east
1 48 68 285.623 east
1 49 68 285.488 east
1 50 68 285.338 east
1 51 68 285.186 east
1 52 68 285.026 east
1 53 68 284.843 east
1 54 68 284.694 east
1 55 68 284.548 east
1 56 68 284.38 east
1 57 68 284.19 east
1 58 68 284.014 east
1 59 68 283.861 east
1 60 68 283.711 east
1 61 68 283.642 east
1 62 68 283.503 east
1 63 68 283.357 east
1 1 1 315.439 west
1 2 1 315.371 west
1 3 1 315.296 west
1 4 1 315.22 west
1 5 1 315.14 west
1 6 1 315.062 west
1 7 1 314.979 west
1 8 1 314.897 west
1 9 1 314.809 west
1 10 1 314.731 west
1 11 1 314.642 west
1 12 1 314.556 west
1 13 1 314.474 west
1 14 1 314.395 west
1 15 1 314.309 west
1 16 1 314.228 west
1 17 1 314.147 west
1 18 1 314.07 west
1 19 1 313.999 west
1 20 1 313.91 west
1 64 43 291.122 south
1 64 44 290.7 south
1 64 45 290.26 south
1 64 46 289.857 south
1 64 47 289.468 south
1 64 48 289.1 south
1 64 49 288.734 south
1 64 50 288.362 south
1 64 51 287.982 south
1 64 52 287.627 south
1 64 53 287.285 south
1 64 54 286.966 south
1 64 55 286.671 south
1 64 56 286.361 south
1 64 57 286.065 south
1 64 58 285.784 south
1 64 59 285.518 south
1 64 60 285.246 south
1 64 61 284.991 south
1 64 62 284.704 south
1 64 63 284.47 south
1 64 64 284.227 south
1 64 65 284.036 south
1 1 2 315.377 north
1 1 3 315.307 north
1 1 4 315.24 north
1 1 5 315.154 north
1 1 6 315.063 north
1 1 7 314.967 north
1 1 8 314.866 north
1 1 9 314.754 north
1 1 10 314.624 north
1 1 11 314.46 north
1 1 46 305.5 north
1 1 47 305.03 north
1 1 48 304.641 north
1 1 49 304.292 north
1 1 50 303.936 north
1 1 51 303.564 north
1 1 52 303.195 north
1 1 53 302.824 north
1 1 54 302.473 north
1 1 55 302.146 north
1 1 56 301.809 north
1 1 57 301.47 north
1 1 58 301.125 north
1 1 59 300.772 north
1 1 60 300.442 north
1 1 61 300.106 north
1 1 62 299.782 north
1 1 63 299.471 north
1 1 64 299.122 north
1 1 65 298.762 north
1 1 66 298.413 north
1 1 67 298.071 north
2 1 68 297.705 east
2 2 68 297.411 east
2 3 68 297.104 east
2 4 68 296.818 east
2 5 68 296.554 east
2 6 68 296.26 east
2 7 68 295.934 east
2 8 68 295.632 east
2 9 68 295.301 east
2 10 68 294.982 east
2 11 68 294.643 east
2 12 68 294.301 east
2 13 68 293.955 east
2 14 68 293.576 east
2 15 68 293.165 east
2 16 68 292.737 east
2 17 68 292.308 east
2 18 68 291.872 east
2 19 68 291.444 east
2 20 68 291.004 east
2 21 68 290.551 east
2 22 68 290.092 east
2 23 68 289.627 east
2 24 68 289.184 east
2 25 68 288.712 east
2 26 68 288.213 east
2 27 68 287.687 east
2 28 68 287.094 east
2 29 68 286.541 east
2 30 68 286.287 east
2 31 68 286.333 east
2 32 68 286.338 east
